Date;Filière;Valeur (°C)
2014/01/01;"Température normale";4,61
2014/01/02;"Température normale";4,6
2014/01/03;"Température normale";4,61
2014/01/04;"Température normale";4,61
2014/01/05;"Température normale";4,61
2014/01/06;"Température normale";4,62
2014/01/07;"Température normale";4,64
2014/01/08;"Température normale";4,65
2014/01/09;"Température normale";4,67
2014/01/10;"Température normale";4,69
2014/01/11;"Température normale";4,72
2014/01/12;"Température normale";4,74
2014/01/13;"Température normale";4,77
2014/01/14;"Température normale";4,79
2014/01/15;"Température normale";4,83
2014/01/16;"Température normale";4,86
2014/01/17;"Température normale";4,9
2014/01/18;"Température normale";4,94
2014/01/19;"Température normale";4,98
2014/01/20;"Température normale";5,01
2014/01/21;"Température normale";5,06
2014/01/22;"Température normale";5,1
2014/01/23;"Température normale";5,15
2014/01/24;"Température normale";5,19
2014/01/25;"Température normale";5,24
2014/01/26;"Température normale";5,28
2014/01/27;"Température normale";5,33
2014/01/28;"Température normale";5,38
2014/01/29;"Température normale";5,43
2014/01/30;"Température normale";5,48
2014/01/31;"Température normale";5,54
2014/02/01;"Température normale";5,59
2014/02/02;"Température normale";5,64
2014/02/03;"Température normale";5,7
2014/02/04;"Température normale";5,75
2014/02/05;"Température normale";5,8
2014/02/06;"Température normale";5,86
2014/02/07;"Température normale";5,91
2014/02/08;"Température normale";5,97
2014/02/09;"Température normale";6,02
2014/02/10;"Température normale";6,08
2014/02/11;"Température normale";6,13
2014/02/12;"Température normale";6,19
2014/02/13;"Température normale";6,25
2014/02/14;"Température normale";6,31
2014/02/15;"Température normale";6,36
2014/02/16;"Température normale";6,42
2014/02/17;"Température normale";6,48
2014/02/18;"Température normale";6,54
2014/02/19;"Température normale";6,6
2014/02/20;"Température normale";6,66
2014/02/21;"Température normale";6,72
2014/02/22;"Température normale";6,78
2014/02/23;"Température normale";6,85
2014/02/24;"Température normale";6,91
2014/02/25;"Température normale";6,98
2014/02/26;"Température normale";7,04
2014/02/27;"Température normale";7,1
2014/02/28;"Température normale";7,17
2014/03/01;"Température normale";7,24
2014/03/02;"Température normale";7,31
2014/03/03;"Température normale";7,38
2014/03/04;"Température normale";7,45
2014/03/05;"Température normale";7,52
2014/03/06;"Température normale";7,6
2014/03/07;"Température normale";7,67
2014/03/08;"Température normale";7,75
2014/03/09;"Température normale";7,83
2014/03/10;"Température normale";7,91
2014/03/11;"Température normale";7,99
2014/03/12;"Température normale";8,08
2014/03/13;"Température normale";8,16
2014/03/14;"Température normale";8,25
2014/03/15;"Température normale";8,34
2014/03/16;"Température normale";8,43
2014/03/17;"Température normale";8,52
2014/03/18;"Température normale";8,62
2014/03/19;"Température normale";8,71
2014/03/20;"Température normale";8,8
2014/03/21;"Température normale";8,91
2014/03/22;"Température normale";9,01
2014/03/23;"Température normale";9,11
2014/03/24;"Température normale";9,21
2014/03/25;"Température normale";9,32
2014/03/26;"Température normale";9,43
2014/03/27;"Température normale";9,54
2014/03/28;"Température normale";9,65
2014/03/29;"Température normale";9,76
2014/03/30;"Température normale";9,88
2014/03/31;"Température normale";9,99
2014/04/01;"Température normale";10,11
2014/04/02;"Température normale";10,23
2014/04/03;"Température normale";10,35
2014/04/04;"Température normale";10,47
2014/04/05;"Température normale";10,59
2014/04/06;"Température normale";10,72
2014/04/07;"Température normale";10,84
2014/04/08;"Température normale";10,97
2014/04/09;"Température normale";11,1
2014/04/10;"Température normale";11,22
2014/04/11;"Température normale";11,35
2014/04/12;"Température normale";11,48
2014/04/13;"Température normale";11,61
2014/04/14;"Température normale";11,74
2014/04/15;"Température normale";11,87
2014/04/16;"Température normale";12
2014/04/17;"Température normale";12,13
2014/04/18;"Température normale";12,26
2014/04/19;"Température normale";12,4
2014/04/20;"Température normale";12,53
2014/04/21;"Température normale";12,66
2014/04/22;"Température normale";12,79
2014/04/23;"Température normale";12,92
2014/04/24;"Température normale";13,06
2014/04/25;"Température normale";13,19
2014/04/26;"Température normale";13,32
2014/04/27;"Température normale";13,45
2014/04/28;"Température normale";13,58
2014/04/29;"Température normale";13,7
2014/04/30;"Température normale";13,84
2014/05/01;"Température normale";13,96
2014/05/02;"Température normale";14,09
2014/05/03;"Température normale";14,21
2014/05/04;"Température normale";14,34
2014/05/05;"Température normale";14,47
2014/05/06;"Température normale";14,59
2014/05/07;"Température normale";14,71
2014/05/08;"Température normale";14,84
2014/05/09;"Température normale";14,95
2014/05/10;"Température normale";15,08
2014/05/11;"Température normale";15,2
2014/05/12;"Température normale";15,32
2014/05/13;"Température normale";15,43
2014/05/14;"Température normale";15,55
2014/05/15;"Température normale";15,66
2014/05/16;"Température normale";15,78
2014/05/17;"Température normale";15,9
2014/05/18;"Température normale";16,01
2014/05/19;"Température normale";16,12
2014/05/20;"Température normale";16,24
2014/05/21;"Température normale";16,34
2014/05/22;"Température normale";16,45
2014/05/23;"Température normale";16,56
2014/05/24;"Température normale";16,66
2014/05/25;"Température normale";16,77
2014/05/26;"Température normale";16,88
2014/05/27;"Température normale";16,98
2014/05/28;"Température normale";17,09
2014/05/29;"Température normale";17,19
2014/05/30;"Température normale";17,3
2014/05/31;"Température normale";17,4
2014/06/01;"Température normale";17,51
2014/06/02;"Température normale";17,61
2014/06/03;"Température normale";17,71
2014/06/04;"Température normale";17,81
2014/06/05;"Température normale";17,91
2014/06/06;"Température normale";18
2014/06/07;"Température normale";18,11
2014/06/08;"Température normale";18,2
2014/06/09;"Température normale";18,3
2014/06/10;"Température normale";18,39
2014/06/11;"Température normale";18,49
2014/06/12;"Température normale";18,58
2014/06/13;"Température normale";18,68
2014/06/14;"Température normale";18,77
2014/06/15;"Température normale";18,86
2014/06/16;"Température normale";18,96
2014/06/17;"Température normale";19,05
2014/06/18;"Température normale";19,14
2014/06/19;"Température normale";19,23
2014/06/20;"Température normale";19,32
2014/06/21;"Température normale";19,41
2014/06/22;"Température normale";19,49
2014/06/23;"Température normale";19,58
2014/06/24;"Température normale";19,66
2014/06/25;"Température normale";19,75
2014/06/26;"Température normale";19,83
2014/06/27;"Température normale";19,91
2014/06/28;"Température normale";19,99
2014/06/29;"Température normale";20,07
2014/06/30;"Température normale";20,15
2014/07/01;"Température normale";20,22
2014/07/02;"Température normale";20,29
2014/07/03;"Température normale";20,37
2014/07/04;"Température normale";20,43
2014/07/05;"Température normale";20,49
2014/07/06;"Température normale";20,56
2014/07/07;"Température normale";20,62
2014/07/08;"Température normale";20,68
2014/07/09;"Température normale";20,74
2014/07/10;"Température normale";20,79
2014/07/11;"Température normale";20,85
2014/07/12;"Température normale";20,89
2014/07/13;"Température normale";20,94
2014/07/14;"Température normale";20,98
2014/07/15;"Température normale";21,02
2014/07/16;"Température normale";21,06
